time,x,y,altitude,u,v,w,V,a_u,a_v,a_w,a_x,a_y,a_z,a_total,phi,theta,psi,p,q,r,alpha,beta,mach,q_dyn,E_s,flag_burnout,flag_apogee,phase,missile_type,elevation_deg
434.68538827678066,361668.85162816715,0.0,99478.3581488077,1882.2934758126753,0.0,1.1075555438375302,1882.2938016596254,8.410819568608531,0.0,-0.00440355546918747,-0.0004969421424902976,0.0,-9.50647391701932,9.506473930007916,0.0,-1.085413723853458,0.0,0.0,-0.0023588542785957247,0.0,0.0005884074031223222,0.0,5.707430121810346,5.056601005379214,280122.6125968733,0,0,3,KN-23,35
435.18538827678066,362107.4507244436,0.0,98644.47035686715,1886.5007024508625,0.0,1.105357414866386,1886.5010262818869,8.418068735666338,0.0,-0.004389137920654207,-0.0005504857399500906,0.0,-9.508818719856208,9.508818735790603,0.0,-1.0865906706724386,0.0,0.0,-0.0023489423677947067,0.0,0.0005859299638401863,0.0,5.720187131644383,5.613791750940603,280097.16430243535,0,0,3,KN-23,35
435.68538827678066,362546.0496834689,0.0,97808.20535998874,1890.7115445483416,0.0,1.103166405916876,1890.7118663785063,8.425280798407812,0.0,-0.004375091816771315,-0.0006099711172282696,0.0,-9.511159358880832,9.511159378440212,0.0,-1.0877626760049561,0.0,0.0,-0.0023390882704486687,0.0,0.0005834662002847832,0.0,5.732955104202324,6.234119732190095,280071.84083512524,0,0,3,KN-23,35
436.18538827678066,362984.64849041385,0.0,96969.56257292526,1894.9259832492703,0.0,1.1009823230496147,1894.9263030934183,8.432454453091623,0.0,-0.0043614520037043025,-0.0006760757532902062,0.0,-9.513494429993443,9.51349445401608,0.0,-1.0889297686654444,0.0,0.0,-0.0023292916175638163,0.0,0.0005810159388241851,0.0,5.74573398230942,6.9249276408044125,280046.64262346696,0,0,3,KN-23,35
436.68538827678066,363423.2471287995,0.0,96128.5414118109,1899.1439990014333,0.0,1.0988049539131717,1899.1443168741766,8.439588207276074,0.0,-0.004348257526208821,-0.0007495563477277756,0.0,-9.51582235978276,9.51582238930384,0.0,-1.090091977285062,0.0,0.0,-0.002319552045008238,0.0,0.0005785789976332811,0.0,5.758523706679381,7.694433132391269,280021.5699340628,0,0,3,KN-23,35
437.18538827678066,363861.84558030835,0.0,95285.14129455338,1903.3655714565464,0.0,1.096634065523406,1903.365887372257,8.446680357103105,0.0,-0.0043355521435424205,-0.0008312584832310677,0.0,-9.518141384876799,9.518141421175413,0.0,-1.0912493303141897,0.0,0.0,-0.002309869193773892,0.0,0.0005761551856482795,0.0,5.77132421561207,8.551835500808435,279996.6228510676,0,0,3,KN-23,35
437.68538827678066,364300.44382457377,0.0,94439.36164127328,1907.5906793585364,0.0,1.0944694017696293,1907.5909933313362,8.453728961750585,0.0,-0.004323384910180028,-0.0009221270447596908,0.0,-9.520449528630706,9.520449573288172,0.0,-1.092401856025068,0.0,0.0,-0.002300242710271628,0.0,0.0005737443013950262,0.0,5.784135444654756,9.50743564171558,279971.8012531098,0,0,3,KN-23,35
438.18538827678066,364739.04183894437,0.0,93591.20187479662,1911.819300418297,0.0,1.092310680613226,1911.8196124620465,8.460731814690234,0.0,-0.0043118108296609226,-0.0010232182685285807,0.0,-9.52274457483145,9.522744629803817,0.0,-1.0935495825145884,0.0,0.0,-0.0022906722466634467,0.0,0.0005713461316755066,0.0,5.796957326222341,10.572770994960736,279947.1047873371,0,0,3,KN-23,35
438.68538827678066,365177.639598221,0.0,92740.66142120703,1916.0514111732266,0.0,1.0901575909399683,1916.0517213015119,8.46768641134554,0.0,-0.004300891591028311,-0.0011357134208083153,0.0,-9.525024038157426,9.525024105865652,0.0,-1.0946925377072658,0.0,0.0,-0.0022811574612367266,0.0,0.0005689604500949327,0.0,5.809789789171455,11.760767374377535,279922.53284021793,0,0,3,KN-23,35
439.18538827678066,365616.2370743621,0.0,91887.73971046503,1920.2869868296425,0.0,1.0880097890221976,1920.2872950557603,8.47458991269059,0.0,-0.004290696398525418,-0.001260933408048004,0.0,-9.527285130985547,9.52728521442763,0.0,-1.0958307493584063,0.0,0.0,-0.002271698018825736,0.0,0.0005665870154095408,0.0,5.822632758322622,13.085909841433823,279898.0845046898,0,0,3,KN-23,35
439.68538827678066,366054.8342361548,0.0,91032.43617710262,1924.5260010859172,0.0,1.085866894541443,1924.5263074228587,8.48143910426893,0.0,-0.004281302906654849,-0.0014003559481352568,0.0,-9.529524725949159,9.529524828839746,0.0,-1.0969642450575003,0.0,0.0,-0.0022622935912864936,0.0,0.0005642255696727321,0.0,5.835486153923974,14.56443505980235,279873.758543184,0,0,3,KN-23,35
440.18538827678066,366493.43104884645,0.0,90174.75026100245,1928.7684259339114,0.0,1.0837284861155427,1928.7687303943442,8.488230350046024,0.0,-0.00427279827435556,-0.0015556348953396082,0.0,-9.531739313679282,9.53173944062358,0.0,-1.0980930522318706,0.0,0.0,-0.0022529438580317874,0.0,0.0005618758361542691,0.0,5.84834989104916,16.21454788571938,279849.5533460014,0,0,3,KN-23,35
440.68538827678066,366932.02747373265,0.0,89314.68140827226,1933.0142314359632,0.0,1.0815940962670874,1933.0145340322088,8.494959540430955,0.0,-0.0042652803538312245,-0.0017286213114857674,0.0,-9.533924955321709,9.533925112032174,0.0,-1.0992171981506011,0.0,0.0,-0.0022436485066340745,0.0,0.0005595375170040237,0.0,5.861223878921124,18.056665308959207,279825.46688444185,0,0,3,KN-23,35
441.18538827678066,367370.6234676959,0.0,88452.2290722262,1937.2633854743424,0.0,1.0794632057617115,1937.2636862183535,8.501622033716785,0.0,-0.004258859031709639,-0.0019213876803405583,0.0,-9.536077229015063,9.536077422581585,0.0,-1.1003367099287888,0.0,0.0,-0.0022344072335050247,0.0,0.0005572102906280682,0.0,5.874108020152412,20.11369126706238,279801.4966580136,0,0,3,KN-23,35
441.68538827678066,367809.2189826892,0.0,87587.39271448657,1941.51585346968,0.0,1.0773352372353777,1941.5161523730142,8.508212590088306,0.0,-0.004253657742572248,-0.0021362551487982273,0.0,-9.538191169485799,9.538191408712814,0.0,-1.1014516145321576,0.0,0.0,-0.0022252197446615937,0.0,0.0005548938087407328,0.0,5.887002209891383,22.41132631757033,279777.63963495963,0,0,3,KN-23,35
442.18538827678066,368247.81396515766,0.0,86720.17180622093,1945.7715980644307,0.0,1.0752095480191393,1945.77189513822,8.514725297238328,0.0,-0.0042498151776229065,-0.002375823794864118,0.0,-9.540261199930683,9.54026149575794,0.0,-1.1025619387820789,0.0,0.0,-0.0022160857565898732,0.0,0.00055258769305152,0.0,5.899906334862414,24.978416676779,279753.8921852383,0,0,3,KN-23,35
442.68538827678066,368686.4083553906,0.0,85850.5658295314,1950.0305787669183,0.0,1.0730854220577548,1950.0308740218359,8.521153486505,0.0,-0.004247487214383838,-0.0026430070283822715,0.0,-9.542281055240892,9.542281421268992,0.0,-1.1036677093610512,0.0,0.0,-0.00220700499721945,0.0,0.0005502915315403871,0.0,5.912820272286567,27.847347727269227,279730.250004982,0,0,3,KN-23,35
443.18538827678066,369125.00208679563,0.0,84978.57427901572,1954.2927515509357,0.0,1.0709620608047554,1954.2930449971577,8.527489638294583,0.0,-0.004246849096844141,-0.002941070415545255,0.0,-9.54424369543267,9.544244148579889,0.0,-1.1047689528187017,0.0,0.0,-0.0021979772070227573,0.0,0.0005480048742688093,0.0,5.9257438886675,31.05448776968867,279706.70803132985,0,0,3,KN-23,35
443.68538827678066,369563.59508508496,0.0,84104.196663521,1958.558068405213,0.0,1.0688385729609107,1958.5583600523762,8.533725275399775,0.0,-0.004248097899538061,-0.00327367486897856,0.0,-9.546141207858454,9.546141769181956,0.0,-1.1058656955783686,0.0,0.0,-0.002189002140255833,0.0,0.000545727228667107,0.0,5.938677038425365,34.64068855772623,279683.2603463818,0,0,3,KN-23,35
444.18538827678066,370002.1872673632,0.0,83227.43250811509,1962.8264768263355,0.0,1.0667139629052174,1962.82676668349,8.539850842635133,0.0,-0.00425145531369675,-0.0036449257167987525,0.0,-9.547964696859708,9.547965392583007,0.0,-1.106957963944348,0.0,0.0,-0.002180079566359195,0.0,0.0005434580542306359,0.0,5.951619562359235,38.651850021195344,279659.90006886027,0,0,3,KN-23,35
444.68538827678066,370440.77854110446,0.0,82348.28135630273,1967.097919247848,0.0,1.064587117647214,1967.0982073234027,8.545855570996764,0.0,-0.00425717079893162,-0.004059428058099002,0.0,-9.54970415927528,9.549705022074543,0.0,-1.108045784109886,0.0,0.0,-0.0021712092715400963,0.0,0.0005411967565484688,0.0,5.964571285916029,43.139557564561436,279636.6192318741,0,0,3,KN-23,35
445.18538827678066,370879.368803005,0.0,81466.7427725176,1971.3723323973322,0.0,1.0624567921062857,1971.372618698995,8.551727324325157,0.0,-0.004265525149973914,-0.004522348754107952,0.0,-9.551348343811696,9.551349414426879,0.0,-1.109129182166012,0.0,0.0,-0.002162391060560389,0.0,0.0005389426805779866,0.0,5.97753201724105,48.16180144295205,279613.40864496806,0,0,3,KN-23,35
445.68538827678066,371317.9579376959,0.0,80582.81634492519,1975.6496465721732,0.0,1.06032159249724,1975.6499311068833,8.557452426173313,0.0,-0.004276834535041685,-0.005039486393798143,0.0,-9.5528845921217,9.552885921375765,0.0,-1.1102081841113272,0.0,0.0,-0.0021536247587576438,0.0,0.0005366951030671597,0.0,5.9905015449819645,53.78378898268956,279590.25773839967,0,0,3,KN-23,35
446.18538827678066,371756.5458162981,0.0,79696.50168857629,1979.9297848235055,0.0,1.058179957571244,1979.9300675973573,8.563015464278351,0.0,-0.004291455070419614,-0.005617350514512509,0.0,-9.554298659379128,9.554300310710389,0.0,-1.1112828158628691,0.0,0.0,-0.0021449102143310354,0.0,0.0005344532240130128,0.0,6.003479635814359,60.07886184915611,279567.1543873101,0,0,3,KN-23,35
446.68538827678066,372195.13229480095,0.0,78807.79844895552,1984.2126620364515,0.0,1.0560301374268204,1984.2129430546088,8.56839906968753,0.0,-0.004309788005068649,-0.006263250717893243,0.0,-9.555574511556188,9.555576564196,0.0,-1.1123531032681946,0.0,0.0,-0.0021362473009280654,0.0,0.0005322161570296196,0.0,6.016466031652844,67.1295321946103,279544.0847131453,0,0,3,KN-23,35
447.18538827678066,372633.7172122407,0.0,77916.7063059756,1988.498183893193,0.0,1.0538701695661754,1988.4984631597938,8.573583667195408,0.0,-0.004332285599768282,-0.006985396728850901,0.0,-9.55669409611437,9.556696649076747,0.0,-1.1134190721188444,0.0,0.0,-0.002127635920573296,0.0,0.0005299829184816409,0.0,6.029460446506886,75.02865336886855,279521.03285932774,0,0,3,KN-23,35
447.68538827678066,373072.3003886553,0.0,77023.2249784743,1992.786245703647,0.0,1.051697851827052,1992.786523221694,8.578547193299755,0.0,-0.004359457797493027,-0.007793011958710849,0.0,-9.557637082849396,9.557640259943524,0.0,-1.1144807481653658,0.0,0.0,-0.0021190760069863365,0.0,0.0005277524152196036,0.0,6.042462562935173,83.88074297658714,279497.98073778086,0,0,3,KN-23,35
448.18538827678066,373510.8816227865,0.0,76127.3542292788,1997.0767310864928,0.0,1.0495107117686824,1997.077006857734,8.583264777375462,0.0,-0.004391879795903497,-0.00869646150385961,0.0,-9.558380570975714,9.558384527107533,0.0,-1.1155381571341116,0.0,0.0,-0.0021105675293431637,0.0,0.0005255234307304454,0.0,6.05547202804624,93.8034784503559,279474.9077424482,0,0,3,KN-23,35
448.68538827678066,373949.46068949765,0.0,75229.09387091023,2001.3695104810224,0.0,1.0473059720311486,2001.3697845058134,8.587708381189259,0.0,-0.004430200649152338,-0.009707396209705621,0.0,-9.558898757662973,9.558903686761987,0.0,-1.1165913247460424,0.0,0.0,-0.0021021104965429204,0.0,0.0005232946094908291,0.0,6.068488448986096,104.92938801769603,279451.79042543424,0,0,3,KN-23,35
449.18538827678066,374388.03733687085,0.0,74328.44377201103,2005.664439467682,0.0,1.04508051111953,2005.6647117448335,8.591846391220543,0.0,-0.00447515304500401,-0.01083891571033746,0.0,-9.559162562989513,9.5591687079868,0.0,-1.1176402767378086,0.0,0.0,-0.0020937049620515496,0.0,0.0005210644392809172,0.0,6.081511387845775,117.40776301631266,279428.6021308026,0,0,3,KN-23,35
449.68538827678066,374826.6112829438,0.0,73425.4038645885,2009.961356872243,0.0,1.0428308189861446,2009.961627398848,8.59564315751004,0.0,-0.004527564425029995,-0.012105752306524664,0.0,-9.559139205768588,9.559146871164865,0.0,-1.1186850388854226,0.0,0.0,-0.002085351029404385,0.0,0.0005188312311820538,0.0,6.09454035591281,131.406821005477,279405.31258040003,0,0,3,KN-23,35
450.18538827678066,375265.1822120395,0.0,72519.97415218026,2014.2600826251921,0.0,1.0405529466945,2014.2603513964327,8.599058471911803,0.0,-0.004588369640822654,-0.013524478708859533,0.0,-9.55879172339337,9.558801291100153,0.0,-1.119725637030867,0.0,0.0,-0.002077048858462295,0.0,0.0005165930969424594,0.0,6.107574807180477,147.1161530887598,279381.8874053136,0,0,3,KN-23,35
450.68538827678066,375703.74977063766,0.0,71612.154719061,2018.5604153441548,0.0,1.038242449345322,2018.5606823530845,8.602046977661075,0.0,-0.004658625368136882,-0.015113742963876575,0.0,-9.558078428177396,9.558090377497821,0.0,-1.1207620971120513,0.0,0.0,-0.002068798672530431,0.0,0.0005143479233497773,0.0,6.120614131017227,164.74949336857276,279358.28761570517,0,0,3,KN-23,35
